base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,optimal_target_price
52.237,1.204,268.482,0.146,12,0.897,18.24
41.648,1.216,739.127,0.0,3,0.911,56.13
55.71,0.965,515.531,0.136,4,0.831,36.07
52.099,0.928,714.673,0.135,51,0.652,125.76
43.908,1.062,460.995,0.254,24,1.228,-2.12
32.298,1.179,367.998,0.0,34,1.194,38.76
22.277,1.071,540.377,0.072,31,0.745,86.95
38.302,0.813,467.632,0.186,37,1.027,45.97
57.846,0.93,323.336,0.147,19,0.82,43.74
48.211,1.039,720.468,0.134,14,0.948,55.84
26.314,1.039,406.659,0.044,26,0.931,56.59
47.598,1.346,223.96,0.073,32,0.914,27.56
50.78,0.842,699.225,0.22,46,1.401,38.14
31.742,1.126,424.355,0.116,32,0.912,52.5
47.306,1.273,408.826,0.15,22,0.838,44.05
45.873,1.391,235.192,0.111,44,0.847,49.07
27.855,0.989,761.141,0.025,9,1.209,37.19
50.367,1.124,306.578,0.195,44,0.67,62.83
53.412,1.135,508.767,0.16,52,0.847,88.35
61.246,1.079,636.893,0.304,56,1.289,37.01
60.807,1.035,563.258,0.039,40,1.049,75.36
24.335,1.115,491.052,0.186,9,1.038,0.49
30.933,0.67,244.75,0.015,51,1.426,44.31
52.726,1.152,378.541,0.133,32,1.049,34.71
52.707,1.069,528.17,0.198,14,0.858,30.44
52.726,1.017,381.924,0.0,51,0.944,89.94
102.791,1.357,530.504,0.104,33,0.773,74.58
53.563,0.949,602.262,0.075,20,1.251,38.93
62.033,0.99,644.375,0.064,48,1.115,84.32
59.31,1.349,316.073,0.151,45,1.225,19.17
54.771,0.925,829.497,0.21,4,1.243,18.62
40.271,0.967,615.122,0.109,55,0.917,98.19
56.385,1.028,499.743,0.136,35,0.811,72.4
33.408,1.176,663.43,0.129,13,0.99,33.21
41.448,1.081,854.811,0.12,36,0.825,96.2
37.72,0.856,284.192,0.033,18,1.033,40.16
46.228,0.97,466.211,0.209,56,1.226,44.79
79.72,0.959,143.235,0.144,37,0.966,39.62
16.991,1.038,528.898,0.152,54,1.03,66.96
55.294,1.114,554.809,0.055,35,0.981,75.24
20.809,1.113,494.126,0.083,23,1.161,17.72
37.921,0.784,401.82,0.106,22,0.866,60.86
61.334,1.21,192.573,0.0,10,0.561,61.8
45.964,1.088,556.03,0.0,53,1.094,90.01
28.834,1.258,718.315,0.072,28,1.198,43.16
34.27,1.117,411.347,0.162,35,1.089,24.85
55.194,1.215,566.009,0.068,28,0.872,70.85
34.045,1.12,264.778,0.038,39,0.773,68.62
48.247,1.252,568.582,0.055,32,1.099,45.05
45.684,1.128,440.993,0.084,33,1.028,44.37
35.226,1.035,385.637,0.092,35,0.975,52.58
77.159,1.391,385.945,0.293,13,1.364,-50.69
54.509,1.183,440.958,0.204,55,0.811,78.92
14.623,1.136,557.365,0.202,43,1.355,14.11
47.797,0.859,303.176,0.213,7,1.006,4.39
35.073,0.857,440.433,0.04,4,0.633,66.92
57.787,1.094,493.779,0.022,15,0.964,52.78
33.112,1.072,335.144,0.031,20,1.192,13.46
43.279,0.958,769.5,0.227,28,0.927,62.17
52.575,1.071,371.976,0.076,27,0.705,72.33
57.986,1.288,399.584,0.02,46,0.967,74.61
26.996,1.154,353.254,0.086,16,0.829,39.76
39.982,0.879,769.772,0.101,7,1.098,39.95
37.876,1.033,582.936,0.141,58,1.155,67.44
35.2,0.929,359.511,0.14,44,0.789,73.59
71.482,0.992,665.935,0.054,54,0.859,118.4
51.075,0.988,530.105,0.175,4,1.151,1.25
26.087,0.978,538.588,0.069,6,0.828,47.85
58.768,0.862,448.328,0.107,14,0.784,58.34
76.832,1.031,387.588,0.175,13,0.764,46.75
60.487,0.966,550.665,0.069,6,1.07,28.86
22.209,0.611,418.237,0.074,45,1.062,77.22
37.736,1.358,772.513,0.167,11,0.863,39.91
64.004,1.213,309.606,0.051,12,1.001,21.16
34.385,0.994,730.424,0.089,29,1.305,37.91
51.657,1.053,483.302,0.164,8,0.805,26.95
56.62,0.874,544.863,0.284,17,0.61,53.03
31.096,1.304,624.974,0.168,44,1.091,47.31
44.107,1.335,405.463,0.158,33,0.978,28.52
10.0,1.074,629.637,0.162,24,0.858,51.43
29.634,1.204,93.868,0.034,55,1.13,36.46
41.211,1.076,392.002,0.129,8,1.168,-1.49
26.283,0.849,361.391,0.118,35,0.558,85.63
69.486,0.988,311.974,0.146,31,0.869,48.72
23.548,1.07,467.757,0.129,23,1.464,-13.07
38.399,0.982,557.862,0.15,56,1.117,65.59
46.961,1.017,605.399,0.095,58,1.135,76.66
66.619,1.036,536.132,0.125,54,1.235,61.76
23.462,1.038,400.146,0.022,32,1.003,54.47
62.447,1.058,555.352,0.094,23,1.159,42.88
45.153,0.891,518.643,0.231,38,1.144,37.1
30.277,0.942,640.408,0.146,57,1.108,80.54
51.932,0.857,616.541,0.118,60,0.936,110.04
47.986,1.197,504.571,0.272,24,1.034,9.53
35.997,0.734,365.412,0.011,48,0.882,94.12
46.047,1.223,402.057,0.031,22,1.003,40.17
39.22,1.258,417.532,0.257,24,0.766,26.36
46.703,1.005,452.71,0.124,54,0.842,93.72
54.932,0.66,540.208,0.101,42,0.944,94.36
68.79,0.996,607.276,0.024,13,0.811,83.08
26.433,1.04,492.332,0.156,49,0.899,64.99
76.996,0.898,502.419,0.164,33,0.967,61.16
15.719,0.973,521.496,0.032,53,1.08,80.69
42.723,1.28,422.614,0.109,42,1.19,34.85
53.825,1.15,361.191,0.093,15,0.907,31.58
49.215,0.911,236.684,0.14,20,1.267,-4.34
35.66,0.81,395.728,0.03,24,1.188,41.01
41.878,1.001,570.972,0.22,58,1.101,57.25
37.605,1.018,394.563,0.193,19,1.031,17.91
36.16,1.124,464.329,0.091,40,1.064,47.77
57.744,0.97,569.965,0.103,27,1.237,31.07
50.355,1.127,578.103,0.109,34,1.245,36.45
34.606,1.34,338.07,0.058,17,1.267,-1.52
58.494,1.172,649.559,0.085,15,1.008,48.16
49.609,1.043,669.103,0.098,60,1.111,93.13
57.193,1.023,330.523,0.249,28,1.269,-8.4
54.444,0.996,376.424,0.196,52,0.875,67.44
32.565,1.227,678.664,0.195,13,0.936,20.01
36.597,0.956,477.972,0.15,15,1.003,18.03
56.209,1.057,167.033,0.031,35,1.18,30.62
54.156,1.058,290.048,0.117,52,1.183,48.18
44.686,0.975,462.595,0.198,39,0.954,51.43
46.76,0.844,325.544,0.019,40,0.698,102.41
64.165,1.098,437.986,0.171,3,1.049,8.39
36.126,1.041,504.859,0.306,41,0.816,46.76
53.206,1.125,719.338,0.205,29,0.702,75.85
41.967,0.97,456.432,0.233,38,0.747,58.53
41.735,1.233,660.881,0.137,34,1.065,55.13
61.482,0.918,714.314,0.197,43,1.272,53.11
57.381,1.307,715.146,0.063,17,1.008,47.92
57.203,0.788,542.713,0.184,33,1.042,50.31
64.582,1.115,205.507,0.172,8,1.237,-22.6
45.315,1.121,569.124,0.143,27,0.691,68.46
55.229,0.931,657.26,0.225,51,1.104,71.34
40.346,1.114,487.84,0.077,54,0.998,68.95
49.862,1.242,761.688,0.105,20,1.113,47.18
43.048,0.717,628.975,0.128,24,0.903,73.57
46.455,1.125,585.241,0.038,33,0.836,84.79
53.927,0.676,662.957,0.138,38,1.028,81.19
32.727,0.905,550.005,0.0,11,1.33,29.17
76.386,1.294,126.078,0.204,48,1.172,11.93
29.91,0.963,425.129,0.124,5,0.898,19.3
26.787,0.874,679.575,0.078,35,0.732,95.76
62.372,1.02,378.861,0.053,29,0.664,86.65
56.875,1.36,466.479,0.101,45,1.263,32.56
54.362,0.775,343.275,0.175,3,0.809,22.42
54.425,0.892,767.588,0.164,46,0.935,94.3
44.816,1.275,752.224,0.064,59,1.264,74.47
31.541,1.329,367.42,0.052,11,0.677,42.96
46.137,1.034,522.095,0.173,7,1.298,-9.09
34.843,0.864,397.926,0.062,17,0.949,50.29
59.627,1.364,592.242,0.125,52,0.77,95.28
42.794,1.289,576.452,0.13,11,0.951,22.46
32.618,1.152,621.756,0.145,47,0.855,80.28
40.179,0.928,549.788,0.189,30,1.088,36.54
51.194,1.043,940.311,0.019,15,0.87,90.33
36.544,1.026,345.811,0.0,26,0.618,87.57
32.667,1.1,243.409,0.075,47,0.956,61.45
48.655,1.268,441.036,0.264,12,0.729,16.68
48.674,1.182,264.802,0.282,44,1.041,6.19
37.396,0.888,276.131,0.266,24,0.763,27.05
37.934,1.256,349.803,0.105,41,0.902,46.87
48.481,1.097,361.672,0.0,24,1.037,49.67
23.279,1.153,356.807,0.0,39,0.958,63.8
23.888,1.27,577.733,0.071,54,1.05,70.35
34.223,0.883,424.072,0.104,41,1.136,48.28
41.798,1.045,473.073,0.224,22,0.768,40.01
49.664,0.97,634.135,0.189,12,0.987,32.11
67.13,0.815,385.052,0.138,12,0.5,74.85
57.865,1.102,460.318,0.049,28,1.049,46.81
42.601,1.427,554.864,0.043,27,0.94,55.52
44.715,0.774,208.765,0.14,55,0.803,79.86
29.962,1.045,142.264,0.176,58,1.063,35.45
44.722,1.146,551.918,0.151,30,1.235,22.57
40.67,1.068,573.802,0.037,15,0.905,58.58
49.841,1.033,809.633,0.172,17,0.811,63.46
32.592,0.855,523.714,0.154,8,1.033,15.1
52.79,1.085,622.961,0.034,54,0.733,122.69
67.991,0.936,470.679,0.057,14,0.868,62.49
43.369,0.722,544.584,0.175,21,1.244,20.16
51.026,1.229,750.089,0.101,34,1.012,66.96
55.352,1.194,181.401,0.247,13,0.624,22.88
38.982,1.058,562.042,0.16,40,0.641,82.72
48.361,1.084,820.338,0.081,35,1.032,78.65
45.189,1.211,542.305,0.119,4,1.172,6.24
46.465,1.084,747.586,0.125,57,0.676,125.97
33.405,1.186,405.618,0.062,17,1.09,16.74
45.368,1.005,495.193,0.047,38,1.266,50.85
52.47,1.247,505.029,0.176,7,1.378,-27.59
66.767,1.098,167.361,0.188,17,1.066,-6.37
59.389,1.079,324.773,0.168,45,1.101,38.45
77.298,0.859,335.469,0.241,12,0.573,48.56
33.49,1.093,623.31,0.077,19,1.42,5.19
58.085,0.925,630.823,0.254,36,0.885,61.62
47.75,0.954,548.605,0.048,54,0.813,109.92
77.847,0.928,623.615,0.039,26,0.949,84.82
32.876,0.89,475.378,0.0,12,1.302,22.55
32.404,1.369,680.29,0.084,54,1.442,41.54
36.009,1.25,501.318,0.08,32,1.025,48.67
13.142,1.338,508.68,0.162,5,1.2,-26.4
37.114,0.867,460.161,0.14,53,1.009,74.82
33.613,1.061,602.668,0.025,39,0.792,99.76
47.256,0.856,436.82,0.089,5,1.295,2.52
50.126,0.946,646.465,0.09,42,0.876,93.52
73.143,0.912,330.178,0.0,7,1.307,10.18
59.256,1.236,335.163,0.042,30,1.26,22.93
36.346,0.991,603.114,0.058,46,1.123,67.68
31.524,1.21,486.718,0.235,16,1.366,-32.39
52.379,1.141,431.916,0.135,41,1.446,1.62
25.197,1.396,633.509,0.173,13,0.965,9.55
72.472,0.828,408.911,0.0,10,0.838,66.56
62.692,1.239,469.97,0.216,39,0.627,75.78
37.962,1.222,709.884,0.224,10,1.449,-23.79
19.303,0.904,730.871,0.0,14,0.912,72.76
65.308,1.201,735.86,0.064,17,1.227,41.33
43.282,1.1,457.681,0.16,21,0.852,42.58
63.567,1.016,684.605,0.172,50,1.308,53.9
21.084,0.926,357.657,0.066,48,0.86,74.23
36.009,0.942,363.965,0.096,30,0.762,65.46
45.079,1.357,147.432,0.072,9,0.958,-3.11
45.705,1.05,750.93,0.129,42,0.894,85.25
38.249,1.167,370.403,0.216,9,1.119,-17.53
54.343,0.931,481.02,0.058,32,0.99,68.76
28.986,0.933,363.451,0.2,20,1.126,3.93
42.864,1.212,604.275,0.057,26,0.942,61.35
46.804,0.848,443.655,0.052,8,0.867,53.71
52.717,0.988,304.277,0.185,60,0.883,72.06
55.674,1.055,566.249,0.194,53,1.409,33.11
28.13,1.067,284.94,0.188,6,1.045,-17.19
21.988,1.023,374.389,0.015,57,0.603,117.09
64.165,1.109,183.967,0.083,5,0.896,18.98
49.985,1.154,286.406,0.186,51,1.019,33.71
33.773,1.16,526.779,0.123,56,1.369,41.46
68.267,0.902,205.32,0.034,53,1.206,57.83
46.735,1.007,277.828,0.157,49,0.816,63.95
62.689,1.229,499.645,0.063,60,1.484,45.93
46.013,1.184,418.459,0.264,8,0.994,-16.66
75.911,0.844,798.805,0.244,28,1.249,38.62
71.33,1.103,775.084,0.168,46,0.769,102.58
41.266,0.753,369.812,0.229,53,0.52,101.54
59.574,1.057,583.571,0.125,40,0.718,92.09
54.681,1.335,612.392,0.181,13,0.5,69.95
65.529,0.908,410.378,0.238,54,1.422,28.14
30.526,0.925,275.669,0.14,31,1.043,19.66
55.291,1.165,498.155,0.1,22,0.815,59.43
60.876,0.819,474.073,0.0,12,1.091,53.85
18.619,0.955,434.635,0.113,28,1.038,37.78
27.251,1.139,566.348,0.186,50,1.124,43.48
14.412,0.955,387.391,0.196,29,1.242,-1.07
40.959,1.015,327.2,0.16,52,0.942,57.17
55.763,1.162,516.362,0.077,16,0.824,53.76
67.535,1.113,557.896,0.0,38,1.166,65.66
46.111,1.09,323.503,0.08,14,1.16,6.95
69.429,0.999,639.214,0.096,54,1.02,91.77
24.298,1.106,234.428,0.095,25,1.436,-21.7
19.449,1.031,413.283,0.169,23,0.912,23.63
44.167,1.119,461.299,0.279,10,0.82,10.51
50.761,0.975,404.566,0.13,41,1.084,46.65
44.51,1.023,415.241,0.103,60,0.865,93.77
13.988,0.902,780.661,0.099,11,1.099,43.81
43.663,1.045,372.367,0.13,26,0.833,53.42
25.433,0.928,866.183,0.054,33,0.92,88.77
55.045,0.883,565.569,0.13,27,1.378,19.87
50.499,1.089,513.808,0.156,19,0.919,37.14
30.902,1.082,571.436,0.137,44,0.84,78.47
37.292,1.167,879.489,0.157,31,1.234,37.89
29.112,0.985,350.961,0.155,5,0.79,17.16
44.06,1.111,331.937,0.0,23,0.861,58.24
59.327,1.133,386.77,0.171,59,1.115,54.81
30.214,1.117,504.821,0.066,10,1.188,12.23
52.561,0.926,241.134,0.032,16,1.244,13.54
37.046,1.072,503.351,0.032,60,0.851,109.71
33.107,1.105,754.032,0.155,41,1.119,58.75
43.395,1.051,522.711,0.102,18,0.907,47.68
29.471,0.737,456.097,0.0,20,0.879,75.71
36.695,1.074,407.276,0.158,33,1.241,5.41
27.032,1.382,634.777,0.005,13,0.89,55.57
74.471,0.996,376.125,0.131,40,1.056,45.76
45.529,0.941,776.959,0.139,22,1.031,54.86
34.504,1.106,790.004,0.191,55,0.786,101.12
48.21,1.097,538.513,0.263,48,1.193,31.76
43.315,1.229,498.273,0.011,55,1.112,66.59
41.685,0.861,654.599,0.116,47,0.603,123.57
54.213,1.16,664.22,0.098,6,1.055,32.53
56.363,1.139,379.101,0.155,22,0.845,41.49
37.042,1.029,421.017,0.137,33,1.219,19.27
36.363,1.101,301.648,0.092,22,0.711,50.28
40.874,1.204,561.36,0.085,13,0.929,36.43
10.471,1.181,599.994,0.031,52,1.072,73.68
22.272,0.879,297.511,0.199,3,1.011,-14.5
65.503,1.173,431.72,0.157,46,1.153,38.66
69.675,1.04,297.912,0.193,20,0.696,46.04
41.264,1.061,365.18,0.095,41,1.33,23.68
53.648,1.061,582.653,0.067,46,1.105,75.66
49.669,1.027,389.978,0.034,35,1.272,37.99
91.183,1.229,454.876,0.149,56,1.175,61.17
61.794,1.037,255.903,0.037,38,0.998,61.19
43.081,0.882,528.049,0.268,20,0.743,38.44
30.667,0.991,493.359,0.015,49,0.887,93.27
20.903,1.077,390.656,0.142,33,1.318,2.51
48.052,1.234,471.648,0.245,37,1.277,1.32
33.655,1.14,527.044,0.168,41,0.876,57.64
23.666,0.922,377.77,0.134,40,0.5,97.36
35.301,1.423,278.561,0.043,17,0.957,22.89
28.777,1.09,770.836,0.009,49,0.942,109.21
70.307,1.241,405.009,0.182,8,0.95,9.51
58.225,1.027,485.486,0.24,10,1.106,2.05
44.88,1.13,651.626,0.085,42,1.175,53.49
67.199,1.176,1029.358,0.029,24,1.198,78.98
46.161,1.233,313.327,0.0,3,1.089,11.42
32.081,1.209,567.474,0.042,60,0.64,122.05
67.847,1.181,393.867,0.111,15,0.932,27.35
53.084,1.003,419.181,0.248,57,1.461,12.96
29.441,0.964,391.968,0.174,26,1.075,19.08
42.145,1.1,331.152,0.144,23,1.074,10.95
31.866,1.19,493.806,0.088,47,1.072,64.41
24.258,1.017,278.825,0.073,45,1.083,43.44
58.893,1.21,642.021,0.232,6,0.523,50.08
73.641,1.268,508.25,0.136,9,0.952,25.02
24.021,0.913,563.365,0.0,14,0.992,58.76
53.445,0.924,430.072,0.066,15,1.256,18.68
35.24,1.029,444.919,0.051,56,1.01,84.69
37.693,1.096,543.135,0.076,46,0.671,100.89
36.114,0.971,325.392,0.165,18,1.086,12.23
32.04,1.253,446.301,0.111,8,0.839,25.86
45.728,1.114,371.058,0.114,16,0.757,47.35
32.536,1.056,366.415,0.225,53,0.833,60.58
49.057,0.835,183.524,0.064,50,1.109,59.5
44.246,0.853,700.899,0.269,60,1.252,54.77
41.416,1.092,397.019,0.066,33,1.097,39.8
31.387,0.73,674.506,0.127,38,1.126,72.11
36.348,1.202,660.319,0.098,39,1.095,62.77
56.331,1.026,307.1,0.13,43,1.02,45.26
52.514,1.536,336.738,0.156,58,1.139,32.64
30.337,1.396,884.075,0.155,37,0.516,104.86
46.49,1.023,762.639,0.06,56,1.022,105.02
56.271,1.034,495.272,0.03,12,0.791,66.21
19.959,1.199,538.606,0.32,19,1.233,-24.51
53.15,1.305,405.373,0.081,53,0.971,70.24
35.061,0.804,564.853,0.176,44,1.006,65.82
53.559,0.782,392.423,0.0,32,0.699,105.22
33.551,0.957,195.147,0.098,46,1.203,28.34
17.927,1.137,301.767,0.11,57,1.125,45.53
20.587,1.125,503.164,0.158,9,1.111,3.53
45.721,1.21,330.34,0.0,20,0.837,45.58
48.896,0.87,489.908,0.133,21,0.845,60.6
31.435,0.703,338.801,0.028,17,1.045,37.66
54.579,1.179,382.647,0.146,41,0.861,62.32
20.077,0.926,627.975,0.037,46,1.087,78.5
